epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.358,1.76382,5.26341,1.59497,0.00256,0.76923,0.00412,0.00225,1.30759,4.66864,1.24884,0.0005,0.0005,0.0005
2,69.1403,1.67719,3.9135,1.4353,0.00256,0.76923,0.0126,0.00376,1.83043,4.9795,1.4269,0.00114357,0.00114357,0.00114357
3,98.6367,1.74089,4.35575,1.41434,0.00231,0.69231,0.03216,0.00932,1.93732,5.18771,1.56854,0.00176073,0.00176073,0.00176073
4,128.902,1.62238,3.92271,1.39578,0.00179,0.53846,0.01066,0.00522,1.86443,5.18111,1.50327,0.0018812,0.0018812,0.0018812
5,159.457,1.56853,3.8028,1.33155,0.00231,0.69231,0.01137,0.00376,1.76784,5.29364,1.4016,0.0018416,0.0018416,0.0018416
6,187.748,1.80992,3.58529,1.4631,0.00205,0.61538,0.00184,0.00078,2.29581,5.89356,1.81522,0.001802,0.001802,0.001802
7,216.588,1.8053,3.30929,1.35888,0.00231,0.69231,0.00222,0.0008,2.3392,5.94109,2.05867,0.0017624,0.0017624,0.0017624
8,241.23,1.8078,3.31945,1.39367,0.00128,0.38462,0.0009,0.00035,2.58906,6.05504,2.24212,0.0017228,0.0017228,0.0017228
9,268.797,1.79441,3.09713,1.467,0.00128,0.38462,0.00104,0.00032,3.09088,6.42303,2.56416,0.0016832,0.0016832,0.0016832
10,310.452,1.74403,3.29463,1.45291,0.00231,0.69231,0.00218,0.00091,2.30648,5.93444,2.11062,0.0016436,0.0016436,0.0016436
11,322.73,1.60719,2.97875,1.30985,0.00205,0.61538,0.00435,0.00155,2.43064,5.37515,2.21859,0.001604,0.001604,0.001604
12,333.583,1.55829,2.46075,1.29962,0.00205,0.61538,0.00163,0.00063,2.3738,5.61806,2.06795,0.0015644,0.0015644,0.0015644
